DEBUG | Calling canvasPan hook with args: foundry.js:2450:15
DEBUG | Calling canvasPan hook with args: foundry.js:2450:15
DEBUG | Calling canvasPan hook with args: foundry.js:2450:15
DEBUG | Calling canvasPan hook with args: foundry.js:2450:15
DEBUG | Calling canvasPan hook with args: foundry.js:2450:15
DEBUG | Calling canvasPan hook with args: foundry.js:2450:15
DEBUG | Calling canvasPan hook with args: foundry.js:2450:15
DEBUG | Calling canvasPan hook with args: foundry.js:2450:15
DEBUG | Calling canvasPan hook with args: foundry.js:2450:15
DEBUG | Calling canvasPan hook with args: foundry.js:2450:15
DEBUG | Calling canvasPan hook with args: foundry.js:2450:15
DEBUG | Calling canvasPan hook with args: foundry.js:2450:15
DEBUG | Calling canvasPan hook with args: foundry.js:2450:15
DEBUG | Calling canvasPan hook with args: foundry.js:2450:15
DEBUG | Calling controlToken hook with args: foundry.js:2450:15
DEBUG | Calling controlToken hook with args: foundry.js:2450:15
DEBUG | Calling initializePointSourceShaders hook with args: foundry.js:2450:15
DEBUG | Calling initializePointSourceShaders hook with args: foundry.js:2450:15
DEBUG | Calling sightRefresh hook with args: foundry.js:2450:15
DEBUG | Calling lightingRefresh hook with args: foundry.js:2450:15
DEBUG | Calling sightRefresh hook with args: foundry.js:2450:15
DEBUG | Calling renderTokenActionHUD hook with args: foundry.js:2475:15
DEBUG | Calling renderApplication hook with args: foundry.js:2475:15
DEBUG | Calling hoverToken hook with args: foundry.js:2450:15
DEBUG | Calling renderTokenMoldOverlay hook with args: foundry.js:2475:15
DEBUG | Calling renderBasePlaceableHUD hook with args: foundry.js:2475:15
DEBUG | Calling renderApplication hook with args: foundry.js:2475:15
DEBUG | Calling hoverToken hook with args: foundry.js:2450:15
DEBUG | Calling hoverToken hook with args: foundry.js:2450:15
DEBUG | Calling renderTokenMoldOverlay hook with args: foundry.js:2475:15
DEBUG | Calling renderBasePlaceableHUD hook with args: foundry.js:2475:15
DEBUG | Calling renderApplication hook with args: foundry.js:2475:15
DEBUG | Calling hoverToken hook with args: foundry.js:2450:15
DEBUG | Calling hoverToken hook with args: foundry.js:2450:15
DEBUG | Calling renderTokenMoldOverlay hook with args: foundry.js:2475:15
DEBUG | Calling renderBasePlaceableHUD hook with args: foundry.js:2475:15
DEBUG | Calling renderApplication hook with args: foundry.js:2475:15
DEBUG | Calling hoverToken hook with args: foundry.js:2450:15
DEBUG | Calling hoverToken hook with args: foundry.js:2450:15
DEBUG | Calling renderTokenMoldOverlay hook with args: foundry.js:2475:15
DEBUG | Calling renderBasePlaceableHUD hook with args: foundry.js:2475:15
DEBUG | Calling renderApplication hook with args: foundry.js:2475:15
DEBUG | Calling renderTokenHUD hook with args: foundry.js:2475:15
DEBUG | Calling renderBasePlaceableHUD hook with args: foundry.js:2475:15
DEBUG | Calling renderApplication hook with args: foundry.js:2475:15
DEBUG | Calling hoverToken hook with args: foundry.js:2450:15
DEBUG | Calling preCreateCombat hook with args: foundry.js:2475:15
DEBUG | Calling createCombat hook with args: foundry.js:2450:15
DEBUG | Calling preCreateCombatant hook with args: foundry.js:2475:15
DEBUG | Calling preCreateCombatant hook with args: foundry.js:2475:15
DEBUG | Calling getCombatTrackerEntryContext hook with args: foundry.js:2475:15
DEBUG | Calling renderCombatTracker hook with args: foundry.js:2475:15
DEBUG | Calling renderSidebarTab hook with args: foundry.js:2475:15
DEBUG | Calling createCombatant hook with args: foundry.js:2450:15
DEBUG | Calling createCombatant hook with args: foundry.js:2450:15
